"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Points:0","Points:1","Points:2"
1.2976,269.98,0.00053015,0,3.0249e+05,1.0976e+05,294.68,0.60462,0.24351,0.83668,0,0
1.2998,269.15,0.00058794,0,3.0294e+05,1.1003e+05,294.89,0.60149,0.25129,0.84436,0,0
1.3022,268.28,0.00065395,0,3.0342e+05,1.1031e+05,295.1,0.59822,0.25942,0.85191,0,0
1.3047,267.35,0.00072977,0,3.0391e+05,1.1061e+05,295.33,0.59478,0.26792,0.85932,0,0
1.3073,266.37,0.0008171,0,3.0443e+05,1.1092e+05,295.56,0.59119,0.2768,0.8666,0,0
1.31,265.33,0.00091847,0,3.0497e+05,1.1124e+05,295.81,0.58742,0.28609,0.87374,0,0
1.3129,264.23,0.0010363,0,3.0553e+05,1.1158e+05,296.07,0.58347,0.2958,0.88074,0,0
1.3158,263.06,0.0011749,0,3.0612e+05,1.1193e+05,296.33,0.57932,0.30595,0.88759,0,0
1.3189,261.82,0.0013375,0,3.0674e+05,1.123e+05,296.61,0.57497,0.31658,0.89429,0,0
1.3222,260.51,0.001532,0,3.0738e+05,1.1269e+05,296.9,0.5704,0.3277,0.90084,0,0
1.3255,259.11,0.0017624,0,3.0805e+05,1.1309e+05,297.21,0.56559,0.33934,0.90724,0,0
1.3291,257.61,0.0020445,0,3.0875e+05,1.1351e+05,297.53,0.56053,0.35155,0.91348,0,0
1.3328,256.02,0.002381,0,3.0949e+05,1.1396e+05,297.86,0.5552,0.36435,0.91956,0,0
1.3367,254.32,0.0028073,0,3.1026e+05,1.1443e+05,298.21,0.54958,0.37778,0.92549,0,0
1.3408,252.49,0.0033173,0,3.1107e+05,1.1492e+05,298.58,0.54364,0.3919,0.93124,0,0
1.3451,250.53,0.0039979,0,3.1191e+05,1.1543e+05,298.96,0.53736,0.40675,0.93683,0,0
1.3496,248.43,0.0048079,0,3.1281e+05,1.1598e+05,299.36,0.53069,0.4224,0.94226,0,0
1.3544,246.14,0.0059775,0,3.1374e+05,1.1655e+05,299.79,0.5236,0.43893,0.94751,0,0
1.3594,243.67,0.0073502,0,3.1474e+05,1.1716e+05,300.23,0.51603,0.45644,0.95259,0,0
1.3647,240.97,0.0095871,0,3.1579e+05,1.178e+05,300.71,0.50792,0.47501,0.9575,0,0
1.3704,238.02,0.012204,0,3.169e+05,1.1849e+05,301.21,0.49919,0.49485,0.96224,0,0
1.3765,234.74,0.0173,0,3.1809e+05,1.1923e+05,301.75,0.48971,0.51606,0.9668,0,0
1.3831,231.1,0.02375,0,3.1938e+05,1.2003e+05,302.33,0.47936,0.53905,0.97118,0,0
1.3901,226.94,0.039193,0,3.2076e+05,1.2089e+05,302.96,0.46787,0.56393,0.9754,0,0
1.398,222.21,0.062785,0,3.2231e+05,1.2186e+05,303.65,0.455,0.59175,0.97943,0,0
1.4067,216.49,0.12683,0,3.2399e+05,1.2293e+05,304.44,0.44,0.62254,0.98329,0,0
1.4172,209.65,0.24731,0,3.2605e+05,1.2422e+05,305.33,0.42231,0.65955,0.98698,0,0
1.4288,200.28,0.55737,0,3.2826e+05,1.2569e+05,306.45,0.39942,0.70195,0.99049,0,0
1.4457,187.9,0.74722,0,3.3158e+05,1.2775e+05,307.82,0.36953,0.76114,0.99383,0,0
1.4565,166.41,1.257,0,3.3326e+05,1.295e+05,309.73,0.32385,0.81161,0.997,0,0
1.4825,152.31,28.929,0,3.3875e+05,1.3226e+05,310.78,0.29592,0.89091,1,0,0
1.4739,160.91,64.859,0,3.374e+05,1.3087e+05,309.33,0.33386,0.85115,1.0028,0.0011506,0
1.4328,178.74,74.067,0,3.2889e+05,1.2633e+05,307.15,0.38434,0.7204,1.0059,0.0024574,0
1.4176,190.6,77.867,0,3.2598e+05,1.2441e+05,305.73,0.41434,0.66519,1.0095,0.0039198,0
1.4024,200.56,81.035,0,3.2302e+05,1.2253e+05,304.38,0.44101,0.61115,1.0135,0.0055369,0
1.3875,209.26,83.589,0,3.201e+05,1.2072e+05,303.1,0.46533,0.55891,1.0179,0.0073071,0
1.3737,216.98,85.63,0,3.174e+05,1.1904e+05,301.87,0.48753,0.51046,1.0227,0.009228,0
1.3603,224.01,87.265,0,3.1478e+05,1.1741e+05,300.68,0.5084,0.46375,1.028,0.011297,0
1.3472,230.52,88.545,0,3.122e+05,1.1583e+05,299.5,0.52834,0.41805,1.0337,0.013509,0
1.3342,236.62,89.505,0,3.0964e+05,1.1426e+05,298.33,0.54759,0.37305,1.0399,0.015862,0
1.3213,242.37,90.173,0,3.0708e+05,1.1271e+05,297.16,0.56635,0.3284,1.0465,0.018348,0
1.3084,247.83,90.568,0,3.0452e+05,1.1116e+05,295.98,0.58475,0.2839,1.0536,0.020963,0
1.2954,253.05,90.701,0,3.0194e+05,1.0962e+05,294.79,0.6029,0.23938,1.0612,0.023699,0
1.2823,258.03,90.583,0,2.9933e+05,1.0807e+05,293.59,0.62089,0.19471,1.0692,0.026548,0
1.269,262.81,90.22,0,2.9668e+05,1.0651e+05,292.37,0.63877,0.1498,1.0777,0.029502,0
1.2557,267.39,89.617,0,2.94e+05,1.0493e+05,291.12,0.65661,0.10458,1.0867,0.032551,0
1.2421,271.79,88.777,0,2.9128e+05,1.0335e+05,289.85,0.67445,0.058981,1.0962,0.035684,0
1.2284,276.01,87.705,0,2.8852e+05,1.0175e+05,288.56,0.69232,0.012969,1.1061,0.038892,0
1.2144,280.04,86.401,0,2.857e+05,1.0014e+05,287.24,0.71026,-0.033486,1.1165,0.04216,0
1.2003,283.9,84.87,0,2.8284e+05,98506,285.9,0.72829,-0.080401,1.1275,0.045476,0
1.1859,287.57,83.115,0,2.7993e+05,96860,284.52,0.74644,-0.12778,1.1388,0.048827,0
1.1714,291.05,81.138,0,2.7696e+05,95197,283.11,0.76471,-0.17563,1.1507,0.052198,0
1.1566,294.34,78.944,0,2.7395e+05,93519,281.67,0.78313,-0.22394,1.163,0.055573,0
1.1416,297.44,76.539,0,2.7088e+05,91825,280.21,0.8017,-0.27268,1.1758,0.058938,0
1.1264,300.32,73.926,0,2.6776e+05,90117,278.7,0.82044,-0.32184,1.1891,0.062275,0
1.111,303,71.114,0,2.6458e+05,88396,277.17,0.83934,-0.37137,1.2028,0.065569,0
1.0954,305.45,68.11,0,2.6136e+05,86663,275.61,0.85843,-0.42125,1.2169,0.068802,0
1.0796,307.67,64.923,0,2.5809e+05,84920,274.01,0.87769,-0.47142,1.2314,0.071957,0
1.0637,309.66,61.563,0,2.5478e+05,83169,272.38,0.89713,-0.52183,1.2464,0.075018,0
1.0476,311.41,58.041,0,2.5142e+05,81410,270.72,0.91674,-0.57243,1.2617,0.077967,0
1.0313,312.9,54.368,0,2.4802e+05,79648,269.03,0.93652,-0.62315,1.2773,0.080788,0
1.015,314.15,50.559,0,2.4459e+05,77884,267.31,0.95647,-0.67393,1.2933,0.083466,0
0.99851,315.13,46.628,0,2.4112e+05,76120,265.57,0.97658,-0.72468,1.3096,0.085984,0
0.98197,315.86,42.589,0,2.3762e+05,74360,263.8,0.99683,-0.77535,1.3262,0.088329,0
0.96537,316.31,38.459,0,2.341e+05,72606,262,1.0172,-0.82584,1.343,0.090488,0
