"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.939032976,      -3.995661717,      -3.940965078,      -3.475886527
          0,           0,           1,      -4.767343544,      -4.838826052,      -4.750144318,      -4.294285175
          0,           0,           2,      -4.704314508,      -4.792863314,      -4.819321559,      -4.258555018
          0,           0,           3,       -3.97046066,      -4.182129044,      -4.528609286,      -3.510448977
          0,           0,           4,      -4.272050343,      -4.305526065,      -4.652711091,      -3.812122214
          0,           0,           5,      -4.515288954,      -4.552504544,      -4.819656221,      -4.057321994
          0,           0,           6,      -4.637453915,      -4.695390624,        -4.8962483,      -4.179773472
          0,           0,           7,       -4.72417337,      -4.758242689,      -4.989242239,      -4.267841935
          0,           0,           8,       -4.84745201,        -4.8720007,      -5.075363725,      -4.390166805
          0,           0,           9,      -4.951268154,      -4.969960622,      -5.158098901,      -4.493623188
          0,           0,          10,      -5.039407704,      -5.060921222,      -5.234477127,      -4.581376653
          0,           0,          11,      -5.126711955,      -5.152750898,      -5.301501899,      -4.668167169
          0,           0,          12,      -5.204293806,      -5.236344538,      -5.367012202,      -4.745152233
          0,           0,          13,      -5.267513644,       -5.30400924,      -5.433364129,      -4.807777972
          0,           0,          14,      -5.320376734,      -5.362586969,      -5.500715317,      -4.859068408
          0,           0,          15,      -5.375445458,      -5.425046315,      -5.578914229,      -4.915227846
          0,           0,          16,      -5.450336695,      -5.500644676,      -5.657673265,      -4.989703335
          0,           0,          17,      -5.526918339,       -5.57938749,      -5.730160377,      -5.065893875
          0,           0,          18,       -5.59318328,      -5.654081214,      -5.800910783,      -5.132528529
          0,           0,          19,       -5.65085946,      -5.721871654,      -5.874985827,      -5.190770774
          0,           0,          20,      -5.716975581,       -5.79292516,      -5.955492098,      -5.256513423
          0,           0,          21,      -5.801672617,      -5.878645831,      -6.040371696,      -5.340072597
          0,           0,          22,       -5.85653211,      -5.973769208,      -6.117862405,       -5.40868654
          0,           0,          23,      -5.938132523,       -6.05443181,       -6.16102905,      -5.489536604
          0,           0,          24,      -6.001352192,       -6.11329597,      -6.181439345,       -5.54875784
          0,           0,          25,       -6.05251608,      -6.173011276,      -6.207708954,      -5.594547908
          0,           0,          26,      -6.107901305,      -6.234578029,       -6.25708027,      -5.645665657
          0,           0,          27,      -6.058925672,      -6.256459181,      -6.283402424,      -5.637245389
          0,           0,          28,      -6.120818758,       -6.34443425,      -6.282367578,      -5.689964099
          0,           0,          29,      -6.177235726,      -6.388031642,      -6.313347743,      -5.734648397
          0,           0,          30,       -6.22551379,      -6.427082494,      -6.374903323,      -5.773070417
          0,           0,          31,      -6.250217372,      -6.445199678,      -6.453993957,      -5.794738322
          0,           0,          32,      -6.263439981,      -6.462500507,      -6.532121812,      -5.809316457
          0,           0,          33,      -6.288683396,      -6.498273863,      -6.597228354,      -5.835653247
          0,           0,          34,      -6.334625688,      -6.550494663,      -6.654394412,      -5.881084741
          0,           0,          35,      -6.397250559,      -6.608306164,      -6.714801992,      -5.941455469
          0,           0,          36,      -6.468033033,      -6.662509594,      -6.783657494,      -6.008654005
          0,           0,          37,      -6.542293153,      -6.712411541,      -6.860221824,      -6.078821473
          0,           0,          38,       -6.62020566,      -6.763576381,      -6.940843994,      -6.153038477
          0,           0,          39,      -6.698252833,      -6.820797191,      -7.016579626,      -6.228187348
          0,           0,          40,      -6.777809651,      -6.884774983,      -7.084079101,      -6.305664788
          0,           0,          41,      -6.856248142,      -6.950503459,      -7.143524478,      -6.383217499
          0,           0,          42,      -6.928669723,      -7.012219354,      -7.197363463,      -6.456482625
          0,           0,          43,      -6.991804172,      -7.067440993,      -7.248420829,      -6.522238647
          0,           0,          44,      -7.046577801,       -7.11635211,      -7.299955989,      -6.580734519
          0,           0,          45,      -7.097104471,      -7.160075972,       -7.35531808,      -6.635214413
          0,           0,          46,      -7.147445788,      -7.200163944,      -7.415550428,      -6.689224621
          0,           0,          47,      -7.199122296,      -7.238080295,      -7.477240015,      -6.744137024
          0,           0,          48,      -7.250869443,      -7.274703506,      -7.533593527,      -6.798702389
          0,           0,          49,      -7.300274873,      -7.310130002,      -7.580645875,      -6.850618091
          0,           0,          50,      -7.346046955,      -7.343884005,      -7.622419843,      -6.898837307
          0,           0,          51,      -7.389067696,      -7.375590556,       -7.66681863,      -6.944553877
          0,           0,          52,      -7.431305163,      -7.405584328,      -7.717697114,       -6.98993779
          0,           0,          53,      -7.473863072,      -7.434662965,      -7.771815822,      -7.036070367
          0,           0,          54,      -7.516157669,      -7.463263354,       -7.82206403,      -7.082166159
          0,           0,          55,      -7.556926925,      -7.491185889,      -7.864717684,      -7.126790953
          0,           0,          56,      -7.595954614,       -7.51811013,       -7.90328807,      -7.169852352
          0,           0,          57,      -7.634546875,      -7.544043768,      -7.944275979,      -7.213120785
          0,           0,          58,      -7.674388573,      -7.569222073,      -7.991261308,      -7.258847399
          0,           0,          59,      -7.716200899,      -7.593833728,      -8.043107216,       -7.30815575
          0,           0,          60,      -7.759397023,      -7.617984607,      -8.095558311,      -7.360581408
          0,           0,          61,      -7.802661435,      -7.641796663,      -8.144495477,      -7.414677948
          0,           0,          62,      -7.844725311,      -7.665374546,      -8.189013672,      -7.468913281
          0,           0,          63,      -7.884725736,      -7.688652559,      -8.231858591,      -7.522109867
          0,           0,          64,      -7.922091053,      -7.711334894,      -8.277013828,       -7.57324815
          0,           0,          65,      -7.956365804,      -7.733046087,      -8.326875537,       -7.62114362
          0,           0,          66,       -7.98729121,      -7.753570016,      -8.380878899,      -7.664593779
          0,           0,          67,      -8.015060361,      -7.772973942,      -8.435628735,      -7.703051596
          0,           0,          68,      -8.040380461,      -7.791533227,      -8.486379654,       -7.73710962
          0,           0,          69,      -8.064223268,      -7.809560235,      -8.529692034,       -7.76825343
          0,           0,          70,      -8.087474845,      -7.827266868,      -8.565750298,      -7.798149181
          0,           0,          71,      -8.110687619,      -7.844719818,      -8.598142754,      -7.827990853
          0,           0,          72,       -8.13401644,      -7.861876974,      -8.631449716,      -7.858211938
          0,           0,          73,      -8.157310319,      -7.878654475,      -8.669062549,      -7.888555563
          0,           0,          74,      -8.180278953,       -7.89498584,      -8.712358631,      -7.918357485
          0,           0,          75,      -8.202651535,       -7.91085158,      -8.760762349,      -7.946884505
          0,           0,          76,      -8.224275858,        -7.9262793,      -8.812127166,      -7.973607637
          0,           0,          77,      -8.245133886,       -7.94132402,      -8.863345204,      -7.998308885
          0,           0,          78,      -8.265300058,      -7.956049059,      -8.911290775,      -8.021031964
          0,           0,          79,      -8.284886305,      -7.970511563,      -8.953907657,        -8.0419648
          0,           0,          80,      -8.304005502,      -7.984756948,      -8.990863031,      -8.061340178
          0,           0,          81,      -8.322762608,      -7.998819958,      -9.023313907,      -8.079402674
          0,           0,          82,      -8.341259175,      -8.012728984,      -9.053058117,       -8.09641474
          0,           0,          83,      -8.359589919,      -8.026509139,      -9.081679189,      -8.112640824
          0,           0,          84,      -8.377824374,      -8.040183366,      -9.110069194,      -8.128297023
          0,           0,          85,      -8.395989198,      -8.053773224,       -9.13832332,      -8.143500854
          0,           0,          86,      -8.414066924,      -8.067299505,       -9.16589866,      -8.158261794
          0,           0,          87,       -8.43201496,      -8.080782378,      -9.191959045,      -8.172522878
          0,           0,          88,      -8.449793889,      -8.094241251,      -9.215801302,      -8.186226898
          0,           0,          89,      -8.467389142,      -8.107694244,      -9.237182672,      -8.199368822
          0,           0,          90,      -8.484815579,      -8.121157558,      -9.256383582,      -8.212008883
          0,           0,          91,      -8.502107348,      -8.134645213,      -9.274002537,      -8.224251438
          0,           0,          92,      -8.519302039,      -8.148169269,       -9.29065092,      -8.236210299
