Density,Momentum:0,Momentum:1,Energy
1.1983,228.97,-0.00165,278190
1.197,229.69,-0.0015597,277950
1.1959,230.33,-0.0014797,277740
1.195,230.89,-0.0014092,277550
1.1941,231.39,-0.0013475,277400
1.1934,231.83,-0.0012938,277260
1.1928,232.21,-0.001248,277150
1.1923,232.54,-0.0012086,277050
1.1919,232.84,-0.0011748,276970
1.1915,233.09,-0.0011462,276900
1.1912,233.32,-0.0011222,276840
1.1909,233.52,-0.0011016,276790
1.1906,233.69,-0.0010849,276750
1.1904,233.85,-0.0010701,276710
1.1902,233.99,-0.0010597,276680
1.1901,234.12,-0.0010471,276650
1.1899,234.24,-0.0010446,276620
1.1898,234.34,-0.0010239,276600
1.1897,234.44,-0.0010467,276580
1.1895,234.53,-0.0010631,276560
1.1894,234.62,-0.0011718,276540
1.1893,234.72,0.00031688,276520
1.1892,234.76,-0.0014175,276500
1.1887,234.59,-0.034064,276360
1.1891,235.76,-0.05836,276520
1.2499,285.28,2.7531E-05,292950
1.2499,285.28,0.00056306,292950
1.2499,285.28,0.0010809,292960
1.2499,285.27,0.0015894,292960
1.25,285.27,0.0021402,292960
1.25,285.26,0.0027169,292970
1.25,285.25,0.0033193,292980
1.2501,285.23,0.0039643,292990
1.2501,285.22,0.0046657,293000
1.2502,285.2,0.0054367,293010
1.2503,285.17,0.0062939,293030
1.2504,285.14,0.0072571,293060
1.2506,285.1,0.0083499,293080
1.2507,285.05,0.0096006,293120
1.251,284.98,0.011044,293160
1.2512,284.91,0.012721,293220
1.2516,284.81,0.014682,293280
1.252,284.7,0.01699,293360
1.2524,284.56,0.019716,293460
1.253,284.4,0.022947,293580
1.2537,284.19,0.026781,293720
1.2545,283.96,0.031329,293880
1.2555,283.67,0.036713,294080
1.2567,283.34,0.04306,294310
1.258,282.96,0.050492,294570
1.2594,282.52,0.059118,294860
1.2611,282.03,0.069012,295200
1.2629,281.48,0.080202,295560
1.2648,280.89,0.092626,295940
1.2668,280.27,0.10615,296350
1.2689,279.63,0.12043,296760
1.2709,279,0.13481,297160
1.2728,278.39,0.1486,297550
1.2746,277.84,0.1622,297900
1.2762,277.32,0.17716,298230
1.2779,276.77,0.1917,298560
1.2797,276.18,0.20617,298920
1.2816,275.55,0.22326,299300
1.2836,274.88,0.24224,299700
1.2857,274.16,0.26286,300120
1.2879,273.4,0.28558,300560
1.2903,272.59,0.31073,301030
1.2927,271.72,0.33856,301530
1.2953,270.79,0.36948,302050
1.2981,269.8,0.40391,302600
1.301,268.74,0.44237,303180
1.3041,267.6,0.4855,303790
1.3074,266.38,0.53403,304440
1.3108,265.06,0.58886,305120
1.3144,263.65,0.65107,305840
1.3182,262.13,0.72201,306610
1.3223,260.49,0.80333,307410
1.3266,258.72,0.89715,308260
1.3311,256.79,1.0061,309160
1.336,254.71,1.1337,310120
1.3411,252.44,1.2843,311130
1.3465,249.96,1.4643,312210
1.3523,247.23,1.6819,313350
1.3586,244.22,1.9496,314580
1.3653,240.88,2.285,315900
1.3725,237.13,2.718,317320
1.3803,232.9,3.2968,318860
1.3889,228.02,4.1122,320540
1.3985,222.39,5.3273,322430
1.409,215.62,7.3456,324480
1.4215,207.78,11.055,326930
1.4339,197.32,15.614,329320
1.4462,185.04,22.229,331620
1.4522,179.52,39.005,332890
1.4391,186.74,58.841,330390
1.4161,198.44,68.853,325820
1.4004,208.2,75.366,322810
1.3828,217.37,80.026,319350
1.3657,225.63,83.078,315970
1.3497,233.08,85.43,312810
1.3334,240.22,87.288,309610
1.3168,247.06,88.33,306310
1.3006,253.39,88.73,303060
1.2846,259.34,88.905,299870
1.268,265.14,88.757,296560
1.2508,270.72,87.997,293100
1.2337,275.94,86.811,289660
1.2165,280.87,85.371,286200
1.1988,285.6,83.585,282610
1.1806,290.05,81.344,278900
1.1622,294.21,78.787,275150
1.1435,298.07,75.868,271320
1.1245,301.59,72.601,267410
1.1052,304.78,69.085,263440
1.0855,307.69,65.304,259370
1.0653,310.21,61.096,255160
1.0452,312.28,56.626,250960
1.0253,314.01,52.114,246800
1.0047,315.42,47.379,242470
0.98335,316.35,42.239,237960
0.96265,316.79,37.001,233560
0.94265,316.95,31.909,229300
0.92181,316.73,26.648,224850
0.90026,315.97,21.094,220220
0.87972,314.8,15.643,215770
0.86022,313.45,10.471,211550
0.83998,311.71,5.2077,207150
0.81916,309.43,-0.21125,202600
0.7994,306.87,-5.4018,198250
0.78062,304.25,-10.296,194110
0.76097,301.14,-15.269,189760
0.7411,297.64,-20.298,185340
0.72212,293.86,-24.985,181080
0.70451,290.37,-29.4,177150
0.68552,285.95,-33.703,172850
0.6687,282.25,-38.091,169080
0.64991,276.63,-41.8,164690
0.63454,274.16,-45.876,161400
0.60743,266.04,-47.962,155030
0.62223,269.02,-50.072,158400
0.74133,260.63,-52.203,181850
1.0382,249.48,-59.677,244650
1.1592,242.55,-61.558,270780
1.1395,245.74,-63.797,266670
1.1387,244.23,-65.885,266440
1.155,240.21,-67.829,269810
1.1681,235.91,-69.272,272480
1.1793,231.25,-70.372,274700
1.1916,226.02,-71.162,277150
1.2044,220.3,-71.552,279680
1.217,214.33,-71.427,282170
1.2293,208.18,-70.931,284600
1.2414,201.65,-70.172,286950
1.2535,194.67,-68.95,289320
1.2655,187.44,-67.082,291660
1.2772,180.1,-64.777,293930
1.2882,172.15,-61.99,296060
1.3,163.88,-58.381,298340
1.3105,154.99,-53.164,300340
1.3224,146.71,-46.593,302670
1.3293,134.89,-40.53,303800
1.3389,128.57,-29.307,305690
1.3378,135.76,-16.239,305580
1.3265,146.28,-10.608,303340
1.3206,154.3,-7.7994,302280
1.3136,161.32,-5.9395,300940
1.307,167.36,-4.7376,299680
1.3011,172.61,-3.9009,298530
1.2954,177.28,-3.2777,297450
1.2902,181.47,-2.7968,296440
1.2852,185.26,-2.4143,295480
1.2806,188.71,-2.1035,294580
1.2762,191.88,-1.8468,293730
1.272,194.79,-1.6322,292920
1.268,197.48,-1.451,292150
1.2642,199.96,-1.2965,291420
1.2607,202.27,-1.164,290730
1.2573,204.42,-1.0494,290070
1.254,206.43,-0.9497,289440
1.2509,208.3,-0.86251,288840
1.248,210.06,-0.78584,288270
1.2452,211.7,-0.71808,287720
1.2425,213.24,-0.6579,287200
1.24,214.69,-0.60423,286700
1.2375,216.05,-0.55615,286230
1.2352,217.33,-0.51294,285780
1.233,218.54,-0.47394,285350
1.2309,219.68,-0.43866,284930
1.2289,220.75,-0.40662,284540
1.2269,221.77,-0.37747,284170
1.2251,222.73,-0.3508,283810
1.2234,223.64,-0.32651,283470
1.2217,224.49,-0.30402,283140
1.2201,225.31,-0.28256,282830
1.2186,226.07,-0.2641,282530
1.2171,226.8,-0.24891,282240
1.2156,227.58,-0.2311,281940
1.2138,228.45,-0.20946,281610
1.2119,229.37,-0.18813,281240
1.21,230.31,-0.16817,280860
1.2081,231.24,-0.14922,280490
1.2063,232.13,-0.13159,280130
1.2045,232.97,-0.11559,279780
1.2029,233.74,-0.10131,279470
1.2014,234.44,-0.088752,279190
1.2001,235.07,-0.077868,278930
1.199,235.62,-0.068536,278710
1.198,236.11,-0.06061,278520
1.1971,236.54,-0.053933,278350
1.1964,236.91,-0.04835,278200
1.1957,237.23,-0.043709,278080
1.1952,237.51,-0.039871,277980
1.1947,237.75,-0.036711,277890
1.1943,237.96,-0.034118,277810
1.194,238.14,-0.032,277750
1.1937,238.31,-0.030272,277690
1.1934,238.45,-0.02887,277640
1.1932,238.57,-0.02773,277600
1.193,238.69,-0.026812,277560
1.1928,238.79,-0.026058,277520
1.1927,238.88,-0.025468,277490
1.1925,238.97,-0.024942,277460
1.1924,239.04,-0.024533,277440
1.1922,239.12,-0.024229,277410
1.1921,239.19,-0.025095,277390
1.192,239.25,-0.018994,277370
1.192,239.36,0.0026164,277370
1.1916,239.23,-0.093095,277290
1.1915,239.27,-0.17458,277250
1.2499,285.28,-3.5539E-05,292950
1.2499,285.28,0.0011018,292950
1.2499,285.28,0.0021851,292960
1.2499,285.27,0.003252,292960
1.25,285.27,0.0043647,292960
1.25,285.26,0.0055246,292970
1.25,285.25,0.0067447,292980
1.2501,285.23,0.0080521,292990
1.2501,285.22,0.0094729,293000
1.2502,285.2,0.011035,293010
1.2503,285.17,0.012772,293030
1.2504,285.14,0.014725,293060
1.2506,285.1,0.01694,293080
1.2507,285.05,0.019475,293120
1.251,284.98,0.0224,293160
1.2512,284.91,0.025799,293220
1.2516,284.81,0.029775,293280
1.252,284.7,0.034453,293360
1.2524,284.56,0.039981,293460
1.253,284.4,0.046531,293580
1.2537,284.2,0.054307,293720
1.2545,283.96,0.063535,293880
1.2555,283.67,0.074464,294080
1.2567,283.34,0.087355,294310
1.258,282.96,0.10246,294570
1.2594,282.52,0.12001,294860
1.2611,282.03,0.14016,295190
1.2629,281.48,0.16297,295560
1.2648,280.9,0.18833,295940
1.2668,280.28,0.21595,296350
1.2689,279.64,0.24524,296760
1.2709,279,0.27521,297160
1.2728,278.4,0.30419,297550
1.2746,277.84,0.33164,297900
1.2762,277.32,0.36001,298230
1.2778,276.77,0.38959,298550
1.2797,276.18,0.42089,298920
1.2816,275.56,0.45603,299300
1.2835,274.89,0.49474,299690
1.2857,274.18,0.53713,300110
1.2879,273.42,0.58389,300560
1.2902,272.6,0.63562,301030
1.2927,271.74,0.69295,301520
1.2953,270.81,0.75666,302040
1.2981,269.82,0.82768,302590
1.301,268.76,0.90711,303170
1.304,267.63,0.99623,303780
1.3073,266.41,1.0966,304430
1.3107,265.1,1.2101,305110
1.3143,263.69,1.339,305830
1.3181,262.18,1.4862,306580
1.3222,260.55,1.655,307390
1.3264,258.79,1.8499,308230
1.331,256.88,2.0764,309130
1.3357,254.81,2.3417,310070
1.3408,252.57,2.6552,311080
1.3462,250.11,3.0295,312140
1.3519,247.43,3.4819,313280
1.358,244.48,4.0364,314480
1.3646,241.23,4.7284,315770
1.3716,237.6,5.6081,317140
1.3791,233.57,6.7576,318630
1.3872,229.02,8.2945,320200
1.3959,223.96,10.408,321920
1.4049,218.22,13.311,323680
1.4145,212.31,17.96,325590
1.423,206.26,24.392,327260
1.4291,200.07,31.129,328410
1.4303,196.71,40.696,328630
1.4229,199.78,53.034,327210
1.4082,206.52,62.168,324300
1.3949,213.48,69.538,321730
1.3795,220.95,75.125,318710
1.364,228.25,79.08,315640
1.3487,235.14,82.083,312630
1.333,241.85,84.383,309550
1.317,248.37,85.852,306360
1.301,254.5,86.636,303190
1.2852,260.28,87.06,300020
1.2688,265.92,87.098,296750
1.2519,271.37,86.549,293350
1.2349,276.5,85.548,289940
1.2178,281.35,84.244,286490
1.2003,286,82.58,282930
1.1821,290.39,80.466,279250
1.1639,294.5,78.014,275520
1.1453,298.33,75.199,271710
1.1264,301.82,72.033,267820
1.1072,304.98,68.596,263870
1.0876,307.86,64.889,259820
1.0675,310.39,60.776,255650
1.0475,312.48,56.388,251460
1.0276,314.2,51.929,247310
1.0071,315.6,47.257,243000
0.98599,316.57,42.203,238530
0.96534,317.05,37.029,234150
0.94534,317.21,31.972,229890
0.92465,317.01,26.77,225470
0.90328,316.32,21.29,220880
0.88276,315.2,15.879,216450
0.86325,313.86,10.73,212220
0.84319,312.16,5.5221,207870
0.82255,309.97,0.16139,203350
0.80276,307.45,-5.0123,199000
0.78397,304.85,-9.8942,194860
0.7645,301.81,-14.818,190560
0.74477,298.41,-19.81,186170
0.72575,294.66,-24.499,181910
0.70816,291.21,-28.906,177980
0.68931,286.83,-33.176,173710
0.67272,283.33,-37.544,170010
0.65377,277.63,-41.243,165580
0.63854,275.38,-45.377,162330
0.60998,266.19,-47.558,155550
0.62822,271.68,-51.847,159960
0.75522,273.63,-55.555,186130
1.0445,263.81,-59.525,247030
1.1661,253.03,-63.305,272960
1.1459,253.36,-65.229,268580
1.1446,250.94,-67.066,268180
1.1603,246.56,-68.776,271370
1.173,242.18,-70.067,273950
1.1841,237.62,-71.048,276130
1.1963,232.58,-71.719,278550
1.2088,227.13,-71.998,281040
1.2213,221.44,-71.782,283490
1.2335,215.6,-71.166,285890
1.2454,209.48,-70.216,288220
1.2573,203.03,-68.778,290540
1.2689,196.36,-66.693,292810
1.2803,189.68,-64.077,295020
1.291,182.67,-60.875,297070
1.3019,175.73,-56.888,299190
1.3113,168.69,-51.699,300960
1.3209,163.47,-44.922,302860
1.3258,157.53,-38.835,303720
1.3305,153.58,-31.778,304570
1.33,156.39,-23.881,304510
1.3243,162.06,-18.536,303400
1.3199,167.53,-14.454,302600
1.3142,173,-11.465,301520
1.3087,178.06,-9.3181,300470
1.3034,182.69,-7.7199,299440
1.2982,186.91,-6.4999,298450
1.2932,190.75,-5.547,297490
1.2884,194.25,-4.7853,296570
1.2839,197.46,-4.1651,295700
1.2796,200.41,-3.6526,294870
1.2755,203.13,-3.2239,294070
1.2715,205.64,-2.8619,293310
1.2678,207.96,-2.5536,292590
1.2643,210.12,-2.289,291900
1.2609,212.13,-2.0605,291240
1.2576,214,-1.8619,290610
1.2546,215.75,-1.6883,290010
1.2516,217.39,-1.5358,289430
1.2488,218.92,-1.4012,288880
1.2461,220.35,-1.2817,288360
1.2436,221.7,-1.1752,287860
1.2411,222.97,-1.08,287380
1.2388,224.16,-0.99449,286920
1.2365,225.28,-0.91742,286480
1.2344,226.33,-0.84775,286060
1.2324,227.33,-0.78456,285660
1.2304,228.26,-0.72711,285280
1.2286,229.15,-0.67466,284920
1.2268,229.98,-0.62681,284570
1.2251,230.77,-0.58306,284240
1.2235,231.52,-0.54166,283920
1.222,232.22,-0.50486,283610
1.2205,232.89,-0.47254,283320
1.2189,233.6,-0.437,283010
1.2172,234.38,-0.39706,282670
1.2153,235.22,-0.35683,282290
1.2133,236.07,-0.31786,281900
1.2113,236.91,-0.28084,281520
1.2095,237.7,-0.24654,281140
1.2077,238.45,-0.21548,280790
1.206,239.13,-0.18782,280470
1.2045,239.75,-0.16359,280170
1.2032,240.29,-0.14262,279900
1.202,240.77,-0.12469,279670
1.201,241.19,-0.10949,279460
1.2001,241.55,-0.096726,279290
1.1993,241.86,-0.086077,279130
1.1986,242.12,-0.077242,279000
1.1981,242.35,-0.069952,278890
1.1976,242.55,-0.063968,278790
1.1972,242.71,-0.059073,278710
1.1968,242.86,-0.055083,278640
1.1965,242.98,-0.051841,278570
1.1962,243.09,-0.049216,278520
1.196,243.19,-0.047092,278470
1.1957,243.28,-0.045382,278430
1.1955,243.35,-0.043997,278390
1.1954,243.42,-0.042891,278350
1.1952,243.49,-0.042,278320
1.1951,243.55,-0.041176,278290
1.1949,243.6,-0.040293,278270
1.1948,243.65,-0.041708,278240
1.1947,243.69,-0.043145,278210
1.1946,243.8,-0.0017779,278200
1.1943,243.81,-0.035085,278150
1.1941,243.71,-0.11202,278090
1.2499,285.28,-2.4012E-05,292950
1.2499,285.28,0.0016641,292950
1.2499,285.28,0.0033012,292960
1.2499,285.27,0.0049323,292960
1.25,285.27,0.006622,292960
1.25,285.26,0.0083844,292970
1.25,285.25,0.010241,292980
1.2501,285.23,0.01223,292990
1.2501,285.22,0.014391,293000
1.2502,285.2,0.016767,293010
1.2503,285.17,0.01941,293030
1.2504,285.14,0.02238,293060
1.2506,285.1,0.025749,293080
1.2507,285.05,0.029606,293120
1.251,284.98,0.034056,293160
1.2512,284.91,0.039229,293220
1.2516,284.82,0.04528,293280
1.252,284.7,0.0524,293360
1.2524,284.56,0.060813,293460
1.253,284.4,0.070787,293580
1.2537,284.2,0.082628,293720
1.2545,283.96,0.096685,293880
1.2555,283.67,0.11334,294080
1.2566,283.34,0.13299,294310
1.2579,282.96,0.15602,294570
1.2594,282.52,0.18279,294860
1.2611,282.03,0.21354,295190
1.2629,281.49,0.24838,295550
1.2648,280.9,0.28713,295940
1.2668,280.28,0.32934,296340
1.2689,279.64,0.3741,296750
1.2709,279.01,0.42013,297160
1.2728,278.4,0.46492,297540
1.2746,277.85,0.5069,297900
1.2762,277.33,0.54962,298220
1.2778,276.78,0.59504,298550
1.2796,276.19,0.6436,298910
1.2815,275.57,0.69747,299290
1.2835,274.9,0.75683,299690
1.2856,274.19,0.82204,300100
1.2878,273.43,0.89397,300550
1.2902,272.62,0.97357,301010
1.2926,271.76,1.0618,301510
1.2952,270.84,1.16,302030
1.298,269.85,1.2695,302570
1.3009,268.79,1.392,303150
1.3039,267.66,1.5295,303760
1.3072,266.45,1.6846,304400
1.3106,265.15,1.8599,305080
1.3141,263.75,2.0592,305790
1.3179,262.25,2.2867,306540
1.3219,260.64,2.5479,307340
1.3261,258.89,2.8494,308170
1.3306,257.01,3.1997,309060
1.3353,254.97,3.6098,309990
1.3403,252.77,4.0938,310970
1.3456,250.37,4.6703,312010
1.3511,247.76,5.3649,313110
1.357,244.91,6.211,314270
1.3632,241.81,7.2575,315500
1.3698,238.4,8.5671,316780
1.3766,234.7,10.238,318140
1.3837,230.65,12.387,319530
1.391,226.35,15.21,320960
1.3981,221.77,18.757,322330
1.4047,217.27,23.473,323630
1.41,213.44,29.635,324700
1.413,210.52,35.926,325270
1.4126,209.04,42.674,325180
1.408,210.5,51.017,324280
1.3983,214.33,58.492,322370
1.3877,219.19,65.296,320320
1.3747,225.04,70.918,317760
1.3607,231.2,75.285,315010
1.3464,237.36,78.729,312180
1.3315,243.51,81.396,309240
1.3161,249.6,83.235,306180
1.3005,255.45,84.371,303090
1.2849,261.04,85.057,299980
1.2688,266.51,85.3,296760
1.2522,271.81,84.961,293410
1.2354,276.84,84.151,290040
1.2185,281.62,82.998,286630
1.2011,286.2,81.468,283100
1.1831,290.54,79.486,279460
1.165,294.61,77.149,275760
1.1465,298.4,74.445,271980
1.1278,301.87,71.384,268120
1.1087,305.02,68.038,264190
1.0893,307.89,64.412,260170
1.0693,310.41,60.394,256020
1.0494,312.51,56.093,251870
1.0296,314.24,51.697,247730
1.0092,315.65,47.093,243450
0.98824,316.64,42.125,239020
0.96767,317.16,37.017,234650
0.94772,317.34,32.003,230410
0.92717,317.17,26.863,226020
0.90597,316.52,21.459,221470
0.88549,315.45,16.093,217050
0.86603,314.15,10.971,212830
0.84613,312.5,5.8193,208510
0.82565,310.38,0.52188,204040
0.80588,307.92,-4.6285,199700
0.78713,305.35,-9.4973,195570
0.76783,302.39,-14.372,191300
0.74825,299.07,-19.32,186950
0.72921,295.36,-24.005,182690
0.71168,291.98,-28.407,178780
0.69297,287.65,-32.639,174540
0.67656,284.28,-36.975,170890
0.65758,278.58,-40.68,166450
0.6425,276.53,-44.84,163260
0.61293,267.14,-46.947,156240
0.62621,270.66,-51.024,159420
0.75057,273.14,-54.508,185100
1.0481,269,-60.431,248220
1.172,259.64,-65.171,274710
1.1515,259.73,-66.261,270230
1.1495,257.06,-67.755,269650
1.1648,252.56,-69.367,272740
1.1773,248.11,-70.561,275250
1.1881,243.56,-71.429,277380
1.2001,238.64,-71.987,279750
1.2125,233.41,-72.158,282180
1.2246,227.99,-71.845,284580
1.2366,222.45,-71.104,286930
1.2482,216.74,-69.976,289200
1.2597,210.84,-68.346,291450
1.2709,204.81,-66.081,293620
1.2817,198.89,-63.226,295710
1.2916,192.89,-59.751,297610
1.3012,187.24,-55.548,299480
1.3092,181.72,-50.63,300980
1.3167,177.88,-44.561,302460
1.3208,174.9,-39.042,303220
1.3236,173.01,-33.87,303720
1.3238,174.18,-28.467,303780
1.3212,177.05,-23.836,303270
1.3183,180.5,-19.728,302740
1.3141,184.4,-16.373,301940
1.3096,188.32,-13.678,301080
1.3049,192.12,-11.516,300180
1.3002,195.73,-9.7831,299270
1.2955,199.11,-8.3844,298380
1.291,202.25,-7.2447,297500
1.2866,205.17,-6.3069,296660
1.2824,207.88,-5.5276,295850
1.2784,210.38,-4.8743,295070
1.2746,212.71,-4.3222,294320
1.2709,214.88,-3.852,293600
1.2674,216.89,-3.4487,292920
1.264,218.77,-3.1006,292260
1.2608,220.53,-2.7984,291630
