"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.2082,2.8453e+05,0.7218,293.45,37.592,0,99323,-0.056893,286.38,1,1.086,1.086,0.3,0
1.2068,2.8425e+05,0.72353,293.74,37.767,0,99166,-0.061406,286.25,1,1.089,1.089,0.3,0
1.2054,2.8398e+05,0.72527,294.03,37.936,0,99008,-0.065974,286.12,1,1.092,1.092,0.3,0
1.204,2.8369e+05,0.72704,294.32,38.097,0,98847,-0.070606,285.99,1,1.095,1.095,0.3,0
1.2026,2.834e+05,0.72882,294.61,38.254,0,98684,-0.075278,285.86,1,1.098,1.098,0.3,0
1.2012,2.8311e+05,0.73063,294.9,38.404,0,98520,-0.080008,285.72,1,1.101,1.101,0.3,0
1.1998,2.8282e+05,0.73245,295.2,38.547,0,98354,-0.084792,285.58,1,1.104,1.104,0.3,0
1.1983,2.8252e+05,0.7343,295.5,38.686,0,98186,-0.089619,285.44,1,1.107,1.107,0.3,0
1.1968,2.8222e+05,0.73616,295.79,38.816,0,98016,-0.094506,285.3,1,1.11,1.11,0.3,0
1.1953,2.8192e+05,0.73804,296.09,38.94,0,97845,-0.099438,285.16,1,1.113,1.113,0.3,0
1.1938,2.8161e+05,0.73993,296.39,39.06,0,97672,-0.10441,285.01,1,1.116,1.116,0.3,0
1.1923,2.813e+05,0.74185,296.7,39.17,0,97497,-0.10944,284.87,1,1.119,1.119,0.3,0
1.1907,2.8099e+05,0.74378,297,39.275,0,97321,-0.11451,284.72,1,1.122,1.122,0.3,0
1.1892,2.8067e+05,0.74573,297.3,39.374,0,97143,-0.11963,284.57,1,1.125,1.125,0.3,0
1.1876,2.8035e+05,0.7477,297.61,39.464,0,96964,-0.1248,284.42,1,1.128,1.128,0.3,0
1.186,2.8003e+05,0.74968,297.91,39.55,0,96783,-0.13,284.27,1,1.131,1.131,0.3,0
1.1844,2.7971e+05,0.75167,298.22,39.629,0,96601,-0.13525,284.12,1,1.134,1.134,0.3,0
1.1828,2.7938e+05,0.75369,298.53,39.7,0,96417,-0.14054,283.96,1,1.137,1.137,0.3,0
1.1812,2.7905e+05,0.75571,298.83,39.766,0,96232,-0.14587,283.81,1,1.14,1.14,0.3,0
1.1796,2.7872e+05,0.75776,299.14,39.823,0,96045,-0.15125,283.65,1,1.143,1.143,0.3,0
1.1779,2.7838e+05,0.75982,299.45,39.874,0,95857,-0.15666,283.49,1,1.146,1.146,0.3,0
1.1763,2.7804e+05,0.76189,299.76,39.92,0,95668,-0.1621,283.33,1,1.149,1.149,0.3,0
