VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          75,      -5.853252085,      -2.821737922,      -3.767736491,     -0.5363816159
          0,           0,          76,      -5.866814918,       -2.83034846,      -3.782567708,     -0.5478741563
          0,           0,          77,      -5.880017826,      -2.838774724,      -3.797324753,     -0.5585990121
          0,           0,          78,      -5.892961464,       -2.84702376,      -3.812112744,     -0.5687780998
          0,           0,          79,      -5.905724894,         -2.855105,      -3.826997675,     -0.5785796233
          0,           0,          80,      -5.918351257,      -2.863028344,      -3.841997024,     -0.5880901309
          0,           0,          81,      -5.930853315,      -2.870803366,      -3.857089935,     -0.5973322184
          0,           0,          82,      -5.943226235,      -2.878439288,      -3.872235537,     -0.6062962326
          0,           0,          83,      -5.955459571,      -2.885945267,      -3.887390787,     -0.6149668491
          0,           0,          84,      -5.967545834,      -2.893330723,      -3.902523626,     -0.6233393737
          0,           0,          85,      -5.979485528,       -2.90060555,      -3.917618741,     -0.6314272518
          0,           0,          86,      -5.991289124,      -2.907780185,      -3.932676738,     -0.6392629866
          0,           0,          87,      -6.002976179,      -2.914865441,      -3.947709879,     -0.6468939165
          0,           0,          88,      -6.014571868,      -2.921872201,      -3.962737605,     -0.6543741089
          0,           0,          89,      -6.026101883,      -2.928811078,      -3.977783171,     -0.6617543887
          0,           0,          90,      -6.037587257,      -2.935692096,      -3.992870924,     -0.6690734913
          0,           0,          91,      -6.049040901,      -2.942524405,      -4.008023556,     -0.6763532006
          0,           0,          92,      -6.060466933,      -2.949316087,      -4.023259641,     -0.6835988421
          0,           0,          93,      -6.071862546,      -2.956073886,      -4.038589701,     -0.6908039321
          0,           0,          94,      -6.083221587,      -2.962803487,      -4.054017504,     -0.6979569741
          0,           0,          95,      -6.094537496,      -2.969509547,      -4.069540591,     -0.7050468155
          0,           0,          96,      -6.105805405,      -2.976195955,      -4.085152289,     -0.7120658919
          0,           0,          97,      -6.117022916,      -2.982866057,      -4.100843911,     -0.7190111268
          0,           0,          98,      -6.128190002,      -2.989522827,       -4.11660679,     -0.7258833831
          0,           0,          99,      -6.139308549,      -2.996168969,      -4.132433773,     -0.7326864278
          0,           0,         100,      -6.150381907,      -3.002806984,       -4.14832008,     -0.7394260211
          0,           0,         101,      -6.161414593,      -3.009439207,      -4.164263575,     -0.7461093297
          0,           0,         102,      -6.172412119,       -3.01606782,      -4.180264543,     -0.7527445822
          0,           0,         103,      -6.183380861,      -3.022694905,      -4.196325112,     -0.7593408224
          0,           0,         104,      -6.194327798,      -3.029322465,      -4.212448569,     -0.7659075031
          0,           0,         105,      -6.205260124,       -3.03595246,       -4.22863846,     -0.7724539607
          0,           0,         106,      -6.216184695,      -3.042586759,      -4.244898101,     -0.7789886187
          0,           0,         107,      -6.227107562,      -3.049227182,      -4.261229969,     -0.7855185334
          0,           0,         108,      -6.238033632,      -3.055875502,      -4.277635386,     -0.7920490672
