VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.692572821,      0.6867449049,      0.8314554299,       3.809459706
          0,           0,           1,      -2.574741277,     -0.1492559615,    -0.01782353002,         2.9389502
          0,           0,           2,      -2.715835219,      -0.384702269,     -0.3268874762,       2.793595153
          0,           0,           3,       -2.78475949,     -0.4711640498,     -0.4039513877,       2.720144098
          0,           0,           4,      -2.820280145,     -0.5316624323,     -0.4999840831,       2.677498748
          0,           0,           5,      -2.819281317,     -0.5012571895,     -0.5496252571,       2.675895169
          0,           0,           6,      -2.810756375,     -0.4894295925,     -0.6143387601,        2.68506982
          0,           0,           7,      -2.799481484,     -0.4614751899,     -0.6752440147,        2.70005544
          0,           0,           8,      -2.770238542,     -0.4085849372,     -0.7082298124,       2.727486156
          0,           0,           9,      -2.834238586,     -0.5078395045,     -0.7969778117,       2.662597108
          0,           0,          10,      -2.926048079,      -0.619333717,     -0.8960801407,       2.570832592
          0,           0,          11,      -3.012724988,     -0.6653620923,     -0.9628004015,       2.483879909
          0,           0,          12,      -3.100490001,     -0.6896316781,      -1.015108437,       2.396629453
          0,           0,          13,      -3.170710971,     -0.7384369784,      -1.063053101,        2.32664587
          0,           0,          14,      -3.248014823,      -0.800152924,      -1.119906033,       2.248959643
          0,           0,          15,      -3.341990537,     -0.8844335359,      -1.194470705,       2.154902764
          0,           0,          16,      -3.440045382,     -0.9848018781,      -1.273820447,        2.05716047
          0,           0,          17,      -3.521426124,      -1.085418636,      -1.339381401,       1.976693379
          0,           0,          18,      -3.577156963,      -1.162855319,      -1.385002658,        1.92200722
          0,           0,          19,      -3.620928798,      -1.215094993,      -1.423518717,        1.87891925
          0,           0,          20,       -3.66965919,      -1.264569187,      -1.468894514,       1.830474201
          0,           0,          21,      -3.729542028,      -1.323858312,      -1.525795207,       1.770481452
          0,           0,          22,      -3.797447539,      -1.386892418,      -1.590636972,       1.702165589
          0,           0,          23,      -3.866306002,      -1.444911917,      -1.653723684,        1.63288374
          0,           0,          24,      -3.930387228,      -1.496809805,      -1.704532232,       1.568588892
          0,           0,          25,      -3.989557767,      -1.545825962,      -1.743956114,       1.509324027
          0,           0,          26,      -4.047860332,      -1.596545043,      -1.784721558,       1.450827917
          0,           0,          27,      -4.109020967,      -1.653538281,      -1.836388983,       1.389280088
          0,           0,          28,      -4.170114923,      -1.713854376,      -1.899489661,       1.327653537
          0,           0,          29,      -4.225170084,      -1.770953469,      -1.969810372,       1.271998046
          0,           0,          30,      -4.273325504,      -1.821266902,      -2.040920862,       1.223172854
