Density,Momentum_x,Momentum_y,Energy
1.2865,173.57,-0.0063082,295300
1.2825,176.91,-0.0062246,294530
1.2787,179.99,-0.0060912,293790
1.275,182.84,-0.0059482,293090
1.2716,185.49,-0.005806,292430
1.2682,187.96,-0.005665,291790
1.2651,190.27,-0.0055244,291180
1.2621,192.43,-0.0053836,290600
1.2592,194.47,-0.0052424,290040
1.2564,196.39,-0.005101,289510
1.2537,198.2,-0.0049596,288990
1.2512,199.91,-0.0048188,288500
1.2487,201.53,-0.0046791,288030
1.2464,203.06,-0.0045411,287570
1.2441,204.52,-0.0044053,287130
1.2419,205.91,-0.0042723,286710
1.2398,207.22,-0.0041428,286310
1.2378,208.48,-0.0040175,285920
1.2359,209.68,-0.0038958,285540
1.234,210.82,-0.0037775,285180
1.2322,211.9,-0.0036624,284830
1.2304,212.94,-0.0035516,284500
1.2288,213.94,-0.0034435,284180
1.2272,214.89,-0.0033408,283860
1.2256,215.8,-0.003239,283570
1.2241,216.67,-0.0031454,283280
1.2227,217.5,-0.0030475,283000
1.2213,218.3,-0.0029658,282730
1.22,219.06,-0.0028659,282480
1.2187,219.79,-0.0027977,282230
1.2175,220.5,-0.0026207,281990
1.2163,221.17,-0.002533,281760
1.2151,221.81,-0.0026658,281530
1.214,222.46,-0.0029249,281320
1.2128,223.17,-0.0026574,281080
1.2114,223.93,-0.0022088,280820
1.2099,224.74,-0.0021166,280540
1.2084,225.56,-0.0020409,280260
1.207,226.39,-0.0019419,279970
1.2055,227.21,-0.001852,279690
1.2041,228,-0.001763,279410
1.2027,228.76,-0.0016746,279150
1.2014,229.48,-0.0015904,278910
1.2002,230.16,-0.0015117,278680
1.1991,230.79,-0.0014389,278470
1.1981,231.37,-0.0013722,278280
1.1972,231.9,-0.0013116,278110
1.1964,232.38,-0.0012565,277960
1.1957,232.81,-0.0012067,277830
1.1951,233.21,-0.0011619,277710
1.1945,233.57,-0.0011215,277600
1.194,233.89,-0.0010858,277510
1.1936,234.18,-0.0010541,277430
1.1932,234.44,-0.0010258,277360
1.1929,234.67,-0.0010009,277300
1.1926,234.89,-0.00097889,277250
1.1923,235.08,-0.00095948,277200
1.1921,235.25,-0.00094245,277160
1.1919,235.41,-0.00092748,277120
1.1917,235.55,-0.00091435,277090
1.1915,235.68,-0.00090309,277060
1.1914,235.8,-0.00089286,277030
1.1912,235.91,-0.00088453,277010
1.1911,236.01,-0.00087603,276990
1.191,236.11,-0.00087068,276970
1.1909,236.2,-0.00086167,276950
1.1908,236.28,-0.00086191,276930
1.1907,236.36,-0.00084348,276920
1.1906,236.44,-0.00086485,276900
1.1905,236.51,-0.00087949,276890
1.1905,236.58,-0.00097658,276870
1.1904,236.66,0.00037287,276860
1.1903,236.69,-0.0011347,276840
1.1898,236.53,-0.029942,276730
1.1902,237.56,-0.051522,276870
1.25,285.27,1.7749E-05,292960
1.25,285.27,0.00035564,292960
1.25,285.26,0.0006827,292960
